#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         510     2.96665      2.9671 5.14726e-05
         511     2.96714      2.9671 5.13719e-05
         512     2.96749      2.9671 5.12772e-05
         513     2.96763      2.9671 5.11875e-05
         514      2.9675      2.9671 5.10937e-05
         515     2.96716      2.9671 5.09946e-05
         516     2.96681      2.9671 5.08989e-05
         517     2.96663      2.9671 5.08085e-05
         518     2.96673      2.9671 5.07156e-05
         519     2.96703      2.9671 5.06181e-05
         520     2.96733      2.9671 5.05226e-05
         521     2.96738      2.9671 5.04286e-05
         522     2.96717      2.9671 5.03321e-05
         523     2.96702      2.9671 5.02361e-05
         524     2.96727      2.9671 5.01413e-05
         525     2.96788      2.9671 5.00678e-05
         526     2.96847     2.96711 5.00396e-05
         527     2.96835     2.96711 5.00004e-05
         528     2.96712     2.96711 4.99057e-05
         529     2.96566     2.96711 4.98866e-05
         530     2.96518      2.9671 4.99244e-05
         531     2.96566      2.9671 4.99038e-05
         532     2.96642      2.9671 4.98266e-05
         533     2.96693      2.9671 4.97341e-05
         534     2.96703      2.9671 4.96412e-05
         535     2.96683      2.9671  4.9551e-05
         536     2.96659      2.9671 4.94674e-05
         537      2.9666      2.9671 4.93838e-05
         538     2.96687      2.9671 4.92938e-05
         539     2.96724      2.9671 4.92031e-05
         540     2.96757      2.9671 4.91198e-05
         541     2.96784      2.9671 4.90485e-05
         542     2.96812      2.9671 4.89939e-05
         543     2.96837      2.9671 4.89597e-05
         544     2.96852      2.9671 4.89386e-05
         545     2.96839     2.96711  4.8906e-05
         546     2.96799     2.96711 4.88431e-05
         547     2.96738     2.96711 4.87563e-05
         548     2.96697     2.96711  4.8668e-05
         549       2.967     2.96711 4.85797e-05
         550     2.96717     2.96711 4.84915e-05
         551     2.96714     2.96711 4.84036e-05
         552       2.967     2.96711 4.83163e-05
         553     2.96702     2.96711 4.82292e-05
         554     2.96733     2.96711 4.81438e-05
         555     2.96781     2.96711 4.80736e-05
         556     2.96826     2.96711  4.8032e-05
         557     2.96848     2.96711 4.80082e-05
         558     2.96822     2.96712 4.79628e-05
         559     2.96749     2.96712 4.78817e-05
         560     2.96665     2.96712 4.78034e-05
         561     2.96614     2.96711 4.77497e-05
         562      2.9661     2.96711 4.76985e-05
         563     2.96636     2.96711 4.76325e-05
         564     2.96672     2.96711  4.7553e-05
         565     2.96711     2.96711 4.74689e-05
         566     2.96758     2.96711 4.73921e-05
         567     2.96824     2.96711 4.73502e-05
         568     2.96927     2.96712 4.74193e-05
         569     2.97055     2.96712 4.77176e-05
         570     2.97045     2.96713 4.79888e-05
         571     2.96699     2.96713 4.79054e-05
         572     2.96367     2.96712 4.82016e-05
         573     2.96381     2.96712 4.84636e-05
         574     2.96516     2.96711 4.84989e-05
         575      2.9661     2.96711 4.84464e-05
         576     2.96659     2.96711 4.83708e-05
         577     2.96686     2.96711 4.82889e-05
         578      2.9671     2.96711 4.82054e-05
         579     2.96744     2.96711 4.81254e-05
         580     2.96792     2.96711 4.80629e-05
         581     2.96848     2.96712 4.80374e-05
         582     2.96873     2.96712 4.80348e-05
         583      2.9683     2.96712 4.79952e-05
         584      2.9676     2.96712   4.792e-05
         585     2.96759     2.96712 4.78447e-05
         586     2.96833     2.96712 4.78073e-05
         587     2.96864     2.96713 4.77955e-05
         588     2.96723     2.96713 4.77146e-05
         589     2.96498     2.96712 4.77731e-05
         590     2.96424     2.96712 4.79411e-05
         591     2.96508     2.96711 4.79842e-05
         592     2.96613     2.96711 4.79319e-05
         593     2.96681     2.96711 4.78538e-05
         594     2.96714     2.96711 4.77733e-05
         595     2.96726     2.96711 4.76937e-05
         596     2.96728     2.96711 4.76145e-05
         597     2.96726     2.96711 4.75354e-05
         598      2.9672     2.96711 4.74561e-05
         599      2.9671     2.96711 4.73769e-05
         600     2.96702     2.96711 4.72982e-05
         601     2.96698     2.96711   4.722e-05
         602     2.96698     2.96711 4.71421e-05
         603     2.96704     2.96711  4.7064e-05
         604     2.96722     2.96711 4.69865e-05
         605     2.96752     2.96711 4.69136e-05
         606      2.9678     2.96711   4.685e-05
         607     2.96779     2.96712 4.67861e-05
         608     2.96737     2.96712  4.6711e-05
         609     2.96697     2.96712 4.66349e-05
         610     2.96707     2.96712 4.65585e-05
         611     2.96752     2.96712  4.6487e-05
         612     2.96772     2.96712 4.64215e-05
         613     2.96745     2.96712  4.6349e-05
         614     2.96715     2.96712 4.62735e-05
         615      2.9673     2.96712 4.61992e-05
         616     2.96764     2.96712 4.61321e-05
         617     2.96759     2.96712 4.60635e-05
         618     2.96708     2.96712  4.5989e-05
         619     2.96671     2.96712 4.59196e-05
         620     2.96663     2.96712 4.58524e-05
         621     2.96671     2.96712 4.57833e-05
         622     2.96689     2.96712 4.57112e-05
         623     2.96714     2.96712 4.56378e-05
         624      2.9673     2.96712 4.55656e-05
         625     2.96727     2.96712 4.54934e-05
         626     2.96717     2.96712 4.54208e-05
         627     2.96744     2.96712 4.53511e-05
         628     2.96856     2.96712 4.53366e-05
         629     2.97065     2.96713 4.56114e-05
         630     2.97206     2.96713 4.62059e-05
         631       2.969     2.96714 4.62274e-05
         632     2.96373     2.96713 4.64675e-05
         633     2.96261     2.96712 4.69411e-05
         634     2.96427     2.96712 4.70831e-05
         635     2.96586     2.96712 4.70508e-05
