        # Block          VALUE    ERROR_VALUE             MU          SIGMA
            181      -0.437834     0.00151147       0.753208       0.611541
            182      -0.438114     0.00149295         0.7659       0.620674
            183      -0.438114     0.00149295         0.7659       0.620674
            184      -0.440366     0.00137806       0.775108       0.632143
            185      -0.440366     0.00137806       0.775108       0.632143
            186      -0.442337     0.00176359       0.791072       0.632294
            187      -0.442337     0.00176359       0.791072       0.632294
            188      -0.437084      0.0018827       0.795351       0.650384
            189      -0.435799     0.00169335       0.788436        0.64721
            190      -0.435139     0.00177348       0.801656       0.659446
            191      -0.439546      0.0019481       0.798656       0.647016
            192      -0.432253     0.00207301       0.815465       0.652496
            193      -0.437215     0.00201685       0.807256       0.649541
            194      -0.437215     0.00201685       0.807256       0.649541
            195      -0.437215     0.00201685       0.807256       0.649541
            196      -0.431927     0.00186324       0.795363       0.659367
            197      -0.428305     0.00237737       0.798899       0.667232
            198      -0.426307     0.00202397        0.80458       0.667771
            199      -0.430995     0.00206278       0.786086       0.663203
            200      -0.430995     0.00206278       0.786086       0.663203
            201      -0.430995     0.00206278       0.786086       0.663203
            202      -0.433543     0.00205889       0.785699       0.659014
            203      -0.433543     0.00205889       0.785699       0.659014
            204      -0.428585     0.00195517       0.771816       0.659123
            205      -0.431088     0.00187878       0.773911       0.658092
            206      -0.428163     0.00211195       0.766597       0.663446
            207      -0.431654      0.0017968        0.76881       0.655314
            208      -0.432948     0.00147332       0.761482       0.653024
            209       -0.43586     0.00159428       0.768901       0.649905
            210       -0.43369     0.00172102       0.779963       0.653789
            211       -0.43775     0.00178919       0.779169        0.64749
            212       -0.43775     0.00178919       0.779169        0.64749
            213      -0.436597     0.00184817       0.782171       0.650751
            214      -0.437709     0.00203815       0.782753       0.651479
            215      -0.436259     0.00187151       0.780734       0.649309
            216      -0.437789     0.00145785       0.774417       0.645611
            217      -0.437789     0.00145785       0.774417       0.645611
            218      -0.434857     0.00163512       0.761973        0.64416
            219      -0.434178     0.00168609       0.768947       0.654784
            220      -0.431171     0.00171026       0.764009        0.65447
            221      -0.430009     0.00184789       0.766009       0.658604
            222      -0.427414     0.00183153       0.762882       0.660584
            223      -0.427312     0.00173199       0.763845       0.664605
            224      -0.427312     0.00173199       0.763845       0.664605
            225      -0.429234      0.0020526       0.766676       0.660335
            226      -0.431953     0.00155826       0.767578       0.657722
            227      -0.433124      0.0016429       0.763041       0.653805
            228      -0.433124      0.0016429       0.763041       0.653805
            229      -0.433124      0.0016429       0.763041       0.653805
            230      -0.432026      0.0015542       0.762368       0.649484
