#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         343     2.19385       2.178  0.00137471
         344     2.19207     2.17804  0.00137132
         345     2.18817     2.17807  0.00136766
         346     2.18377     2.17808  0.00136381
         347     2.18066     2.17809   0.0013599
         348     2.17996      2.1781    0.001356
         349     2.18142     2.17811  0.00135215
         350     2.18368     2.17812  0.00134838
         351     2.18494     2.17814  0.00134468
         352     2.18343     2.17816  0.00134094
         353     2.17852     2.17816  0.00133714
         354     2.17222     2.17814  0.00133347
         355     2.16879     2.17811  0.00132998
         356     2.17081     2.17809   0.0013264
         357     2.17646     2.17809  0.00132269
         358     2.18238      2.1781  0.00131905
         359     2.18682     2.17813   0.0013156
         360      2.1896     2.17816  0.00131233
         361     2.19097     2.17819  0.00130918
         362     2.19095     2.17823  0.00130603
         363     2.18949     2.17826   0.0013028
         364     2.18728     2.17828  0.00129946
         365     2.18608     2.17831  0.00129608
         366     2.18719     2.17833  0.00129276
         367     2.18966     2.17836  0.00128961
         368     2.19112      2.1784  0.00128657
         369     2.19006     2.17843  0.00128347
         370     2.18672     2.17845   0.0012802
         371     2.18191     2.17846  0.00127678
         372     2.17555     2.17845  0.00127337
         373     2.16772     2.17842  0.00127028
         374     2.16145     2.17838   0.0012677
         375      2.1609     2.17833  0.00126517
         376     2.16549      2.1783  0.00126227
         377     2.17254     2.17828  0.00125901
         378     2.18273     2.17829  0.00125574
         379     2.19606     2.17834   0.0012533
         380     2.20906     2.17842  0.00125261
         381     2.21867     2.17853  0.00125377
         382     2.22426     2.17865  0.00125619
         383     2.22636     2.17877  0.00125907
         384      2.2256     2.17889  0.00126168
         385     2.22262     2.17901  0.00126351
         386     2.21812     2.17911  0.00126429
         387      2.2122     2.17919  0.00126391
         388     2.20361     2.17926  0.00126222
         389     2.19107     2.17929  0.00125934
         390     2.17734     2.17928  0.00125612
         391     2.16992     2.17926  0.00125314
         392     2.17269     2.17924  0.00125005
         393     2.18045     2.17924  0.00124687
         394     2.18711     2.17926  0.00124387
         395     2.19036     2.17929  0.00124104
         396     2.18981     2.17932  0.00123819
         397     2.18664     2.17934  0.00123521
