#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         278     14.3527     17.2667    0.159827
         279     14.2899     17.2561     0.15961
         280     14.2112     17.2452     0.15941
         281     14.1326     17.2341    0.159227
         282     14.0772     17.2229    0.159055
         283     14.0611     17.2117    0.158885
         284     14.0819     17.2007    0.158707
         285     14.1232     17.1899    0.158517
         286     14.1699     17.1794    0.158315
         287      14.214      17.169      0.1581
         288     14.2531     17.1589    0.157875
         289     14.2869      17.149    0.157641
         290      14.315     17.1392      0.1574
         291     14.3364     17.1296    0.157153
         292     14.3488       17.12    0.156903
         293     14.3492     17.1106    0.156653
         294     14.3341     17.1011    0.156404
         295     14.3008     17.0916    0.156162
         296     14.2492      17.082    0.155929
         297     14.1845     17.0723    0.155709
         298     14.1191     17.0624    0.155502
         299     14.0672     17.0524    0.155304
         300     14.0356     17.0423    0.155111
         301     14.0202     17.0323    0.154921
         302      14.013     17.0223     0.15473
         303     14.0078     17.0123    0.154539
         304     14.0018     17.0024    0.154347
         305      13.996     16.9926    0.154156
         306      13.995     16.9828    0.153963
         307     14.0036     16.9731    0.153767
         308     14.0214     16.9635    0.153566
         309     14.0422      16.954     0.15336
         310     14.0582     16.9447    0.153149
         311     14.0652     16.9354    0.152937
         312     14.0627     16.9262    0.152723
         313     14.0526      16.917    0.152511
         314      14.038     16.9079    0.152301
         315     14.0248     16.8987    0.152092
         316     14.0215     16.8896    0.151883
         317      14.034     16.8806    0.151671
         318     14.0608     16.8717    0.151453
         319     14.0935      16.863    0.151228
         320     14.1242     16.8545    0.150998
         321     14.1495      16.846    0.150762
         322     14.1688     16.8377    0.150523
         323     14.1814     16.8295    0.150282
         324     14.1852     16.8213    0.150039
         325     14.1765     16.8132    0.149798
         326     14.1504      16.805    0.149561
         327     14.1016     16.7968    0.149332
         328     14.0271     16.7883    0.149115
         329     13.9342     16.7796    0.148914
         330     13.8492     16.7708    0.148727
         331     13.8085     16.7618    0.148547
         332     13.8279      16.753    0.148362
         333     13.8919     16.7444    0.148165
         334     13.9768     16.7361    0.147953
         335     14.0645     16.7281    0.147726
         336     14.1402     16.7204    0.147487
         337     14.1934     16.7129     0.14724
         338      14.223     16.7056    0.146989
         339     14.2388     16.6983    0.146735
         340     14.2557     16.6911    0.146479
         341     14.2827      16.684     0.14622
         342     14.3173     16.6771    0.145956
         343     14.3504     16.6703    0.145688
         344     14.3746     16.6637    0.145417
         345     14.3879     16.6571    0.145145
         346     14.3908     16.6505    0.144874
         347     14.3846      16.644    0.144603
         348     14.3697     16.6374    0.144335
         349     14.3452     16.6309    0.144071
         350     14.3109     16.6242    0.143812
         351      14.269     16.6175    0.143559
         352     14.2254     16.6107    0.143312
         353     14.1873     16.6039     0.14307
         354     14.1593      16.597    0.142832
         355     14.1421     16.5901    0.142597
         356     14.1364     16.5832    0.142363
         357     14.1437     16.5763    0.142128
         358     14.1638     16.5696    0.141891
         359     14.1941      16.563     0.14165
         360     14.2292     16.5565    0.141405
         361     14.2621     16.5501    0.141156
         362     14.2876     16.5439    0.140904
         363      14.306     16.5377    0.140651
         364      14.321     16.5316    0.140396
         365     14.3354     16.5256     0.14014
         366     14.3486     16.5197    0.139884
         367     14.3574     16.5138    0.139627
         368     14.3582     16.5079     0.13937
         369     14.3478     16.5021    0.139115
         370     14.3236     16.4962    0.138864
         371     14.2834     16.4902    0.138617
         372     14.2257     16.4841    0.138378
         373     14.1519     16.4779    0.138149
         374     14.0693     16.4714    0.137929
         375     13.9903     16.4648     0.13772
         376     13.9276     16.4581    0.137519
         377     13.8899     16.4513    0.137323
         378     13.8862     16.4445    0.137127
         379     13.9241     16.4378    0.136926
         380     13.9948     16.4314    0.136717
         381     14.0716     16.4252    0.136498
         382     14.1303     16.4192    0.136273
         383     14.1626     16.4133    0.136045
         384     14.1724     16.4075    0.135815
         385     14.1676     16.4016    0.135587
         386     14.1557     16.3958    0.135361
         387     14.1422       16.39    0.135136
         388     14.1302     16.3842    0.134913
         389      14.121     16.3784    0.134692
         390     14.1146     16.3726    0.134472
         391     14.1101     16.3668    0.134252
         392     14.1062      16.361    0.134033
         393     14.1014     16.3553    0.133816
         394     14.0936     16.3495    0.133599
         395       14.08     16.3438    0.133384
         396     14.0567      16.338    0.133172
         397     14.0193     16.3321    0.132965
         398     13.9657     16.3262    0.132764
         399     13.9008     16.3201     0.13257
         400     13.8424     16.3139    0.132383
         401     13.8142     16.3077      0.1322
         402     13.8203     16.3015    0.132016
