        # Block          VALUE    ERROR_VALUE             MU          SIGMA
             40      -0.017395      0.0112728        0.73619       0.996786
             41      -0.017395      0.0112728        0.73619       0.996786
             42      -0.017395      0.0112728        0.73619       0.996786
             43      -0.017395      0.0112728        0.73619       0.996786
             44      -0.017395      0.0112728        0.73619       0.996786
             45      -0.017395      0.0112728        0.73619       0.996786
             46      -0.017395      0.0112728        0.73619       0.996786
             47       -0.41398     0.00223385        0.73619       0.679476
             48       -0.41398     0.00223385        0.73619       0.679476
             49      -0.236014     0.00755132       0.877675       0.784744
             50      -0.236014     0.00755132       0.877675       0.784744
             51      -0.236014     0.00755132       0.877675       0.784744
             52      -0.214758     0.00341364      0.0188336       0.905703
             53      -0.214758     0.00341364      0.0188336       0.905703
             54      -0.214758     0.00341364      0.0188336       0.905703
             55      -0.214758     0.00341364      0.0188336       0.905703
             56      -0.125921     0.00995244      0.0188336        1.17004
             57      0.0256301     0.00341488       0.443678       0.507055
             58      -0.025865      0.0056179       0.645018       0.433866
             59      -0.271897     0.00436922       0.584319       0.878894
             60      -0.271897     0.00436922       0.584319       0.878894
             61      -0.287576     0.00413819       0.584319       0.856367
             62      -0.158057     0.00292384       0.285916       0.790724
             63      -0.158057     0.00292384       0.285916       0.790724
             64      -0.158057     0.00292384       0.285916       0.790724
             65      -0.158057     0.00292384       0.285916       0.790724
             66      -0.158057     0.00292384       0.285916       0.790724
             67      -0.246451     0.00439248       0.293245       0.966276
             68      -0.210605     0.00347882       0.293245       0.843488
             69      -0.246885      0.0039453      0.0808187       0.960058
             70      -0.246885      0.0039453      0.0808187       0.960058
             71      -0.242022     0.00425524      0.0808187       0.993929
             72      -0.242022     0.00425524      0.0808187       0.993929
             73      -0.242022     0.00425524      0.0808187       0.993929
             74      -0.242022     0.00425524      0.0808187       0.993929
             75      -0.108309     0.00356385       0.168196        0.78632
             76      -0.182228     0.00298967       0.168196       0.846607
             77      -0.182228     0.00298967       0.168196       0.846607
             78     -0.0971546      0.0107018       0.302405        1.14722
             79     -0.0971546      0.0107018       0.302405        1.14722
             80      -0.116392     0.00282241       0.487555        0.55571
             81      -0.116392     0.00282241       0.487555        0.55571
             82      -0.091768     0.00299608       0.487555       0.531006
             83      -0.091768     0.00299608       0.487555       0.531006
             84      -0.091768     0.00299608       0.487555       0.531006
             85      -0.091768     0.00299608       0.487555       0.531006
             86      0.0212706     0.00343384       0.277607       0.667839
             87      -0.113622     0.00339442       0.110247       0.797509
             88       0.465894     0.00575461       0.110247       0.552289
             89     -0.0335529     0.00389052        0.25095       0.711841
             90     -0.0335529     0.00389052        0.25095       0.711841
             91      -0.227393     0.00303659       0.462633       0.745909
             92      -0.167535     0.00227627       0.510609       0.569113
             93      -0.299979     0.00223541       0.611663       0.554825
             94      -0.299979     0.00223541       0.611663       0.554825
             95      -0.402161     0.00216555       0.818181       0.550979
             96      -0.402161     0.00216555       0.818181       0.550979
             97      -0.402161     0.00216555       0.818181       0.550979
             98      -0.402161     0.00216555       0.818181       0.550979
             99      -0.397851     0.00159633        0.69713       0.677673
            100      -0.397851     0.00159633        0.69713       0.677673
            101      -0.397851     0.00159633        0.69713       0.677673
            102      -0.397851     0.00159633        0.69713       0.677673
            103      -0.397851     0.00159633        0.69713       0.677673
            104      -0.397851     0.00159633        0.69713       0.677673
            105      -0.379013     0.00147708       0.668084       0.590937
            106      -0.289272     0.00209895       0.561737       0.683235
            107      -0.357732     0.00184735       0.639811       0.602184
            108      -0.109704     0.00281318       0.471108       0.579887
            109      -0.211235     0.00314068       0.618637       0.485225
            110      -0.187953     0.00343818       0.622064       0.475271
            111      -0.366452     0.00251186       0.730008        0.52927
            112      -0.366452     0.00251186       0.730008        0.52927
            113      -0.366452     0.00251186       0.730008        0.52927
            114      -0.366452     0.00251186       0.730008        0.52927
            115      -0.387426     0.00236419       0.758985       0.540258
            116      -0.392923     0.00212276        0.89344        0.57437
            117      -0.441553     0.00156227       0.812373       0.634849
            118      -0.441553     0.00156227       0.812373       0.634849
            119      -0.413213     0.00131052       0.707641       0.620005
            120      -0.431949     0.00148338       0.813143       0.580615
            121      -0.424551     0.00229587       0.863333       0.633915
            122      -0.424551     0.00229587       0.863333       0.633915
            123      -0.424551     0.00229587       0.863333       0.633915
            124      -0.433447     0.00189841       0.798668       0.658114
            125      -0.433447     0.00189841       0.798668       0.658114
            126      -0.400581      0.0019942       0.717521       0.699107
            127      -0.378985     0.00244428       0.705569       0.729507
            128      -0.339549     0.00239678       0.623121       0.747624
            129      -0.315024     0.00217051       0.588338        0.69207
            130      -0.315024     0.00217051       0.588338        0.69207
            131      -0.315024     0.00217051       0.588338        0.69207
            132      -0.315024     0.00217051       0.588338        0.69207
            133      -0.283713     0.00202259        0.55451        0.67698
            134      -0.308717     0.00204278       0.584265       0.653328
            135      -0.308717     0.00204278       0.584265       0.653328
            136      -0.300866     0.00224112       0.605308       0.562526
            137      -0.300866     0.00224112       0.605308       0.562526
            138      -0.300866     0.00224112       0.605308       0.562526
            139      -0.314629      0.0021446       0.605064       0.588997
            140      -0.314629      0.0021446       0.605064       0.588997
            141      -0.308889      0.0018949       0.603626       0.588619
            142      -0.345449     0.00160975       0.630077       0.605697
            143      -0.326474     0.00172677       0.607747       0.622099
            144      -0.326474     0.00172677       0.607747       0.622099
            145      -0.320445     0.00215508       0.610713       0.591511
            146      -0.320445     0.00215508       0.610713       0.591511
            147      -0.428344      0.0012754       0.732889       0.634649
            148      -0.428344      0.0012754       0.732889       0.634649
            149      -0.430122     0.00171108       0.779102       0.577076
            150      -0.430122     0.00171108       0.779102       0.577076
            151      -0.361608     0.00269043       0.786648       0.527082
            152       -0.37563     0.00273762       0.791686       0.531449
            153       -0.35527     0.00274007       0.760484       0.522793
            154       -0.35527     0.00274007       0.760484       0.522793
            155       -0.39292     0.00229646        0.74135       0.545631
            156       -0.39292     0.00229646        0.74135       0.545631
            157      -0.401954      0.0020171       0.751143       0.553151
            158      -0.435805     0.00146095       0.752009       0.601655
            159      -0.430833     0.00135989       0.748636       0.594083
            160      -0.436398     0.00121717       0.751942       0.618067
            161      -0.433654      0.0012705       0.749347       0.604652
            162      -0.433654      0.0012705       0.749347       0.604652
            163        -0.4376     0.00130061        0.76646       0.630694
            164        -0.4376     0.00130061        0.76646       0.630694
            165      -0.425055     0.00154341       0.733236       0.648441
            166      -0.440243     0.00146236        0.77364       0.640043
            167      -0.429145     0.00169737       0.755454       0.650204
            168      -0.440295     0.00137424       0.774699       0.638597
            169      -0.430764     0.00148027       0.750411        0.63666
            170      -0.431105     0.00164485       0.747808       0.639233
            171      -0.431105     0.00164485       0.747808       0.639233
            172       -0.42428     0.00163066       0.726755       0.643119
            173      -0.419499     0.00146099       0.726167        0.64157
            174      -0.432227      0.0014735       0.746779         0.6415
            175      -0.431503     0.00143063       0.749569       0.639779
            176      -0.438386     0.00125521       0.761683       0.626103
            177      -0.441735     0.00153333       0.776464       0.604884
            178      -0.442919     0.00124453       0.778386       0.612528
            179      -0.442919     0.00124453       0.778386       0.612528
            180      -0.442919     0.00124453       0.778386       0.612528
            181      -0.437091     0.00151311        0.77289       0.590771
            182      -0.439311     0.00154337       0.783768       0.598599
            183      -0.439311     0.00154337       0.783768       0.598599
            184      -0.442621     0.00132949       0.791661       0.608429
            185      -0.442067     0.00165799       0.789982         0.6147
            186       -0.44424     0.00135095       0.803665       0.614829
            187       -0.44424     0.00135095       0.803665       0.614829
            188      -0.442131     0.00171393       0.807333       0.630334
            189      -0.442818     0.00142401       0.801406       0.627614
            190      -0.442095      0.0014405       0.812737       0.638103
            191      -0.443036     0.00144824       0.810166       0.627448
            192      -0.440298      0.0018228       0.824574       0.632145
            193      -0.440392     0.00197423       0.817537       0.629612
            194      -0.440392     0.00197423       0.817537       0.629612
            195      -0.438983     0.00172826       0.811966       0.638918
            196       -0.43816     0.00200665       0.801772        0.64734
            197      -0.435325     0.00210422       0.804803       0.654081
            198      -0.436011     0.00176545       0.809672       0.654543
            199      -0.437844     0.00183245        0.79382       0.650627
            200      -0.437844     0.00183245        0.79382       0.650627
            201      -0.437844     0.00183245        0.79382       0.650627
            202      -0.438516     0.00152803       0.793489       0.647037
            203      -0.438516     0.00152803       0.793489       0.647037
            204      -0.436232     0.00159037       0.781589       0.647131
            205      -0.439782     0.00176083       0.783384       0.646247
            206      -0.439782     0.00176083       0.783384       0.646247
            207      -0.439696     0.00158759       0.785281       0.639276
            208      -0.440568     0.00141455          0.779       0.637313
            209      -0.441843     0.00143057       0.785359       0.634641
            210      -0.440519     0.00178829       0.794841        0.63797
            211       -0.44272     0.00160048       0.794161        0.63257
            212      -0.440663      0.0015891       0.792379       0.637807
            213      -0.441985     0.00170236       0.794952       0.640602
            214      -0.441267     0.00180054        0.79545       0.641227
            215      -0.439196     0.00182653        0.79372       0.639366
            216      -0.442174     0.00154535       0.788305       0.636197
            217      -0.439819     0.00142819       0.791812       0.643333
            218      -0.440909     0.00149521       0.781145       0.642089
            219      -0.437382     0.00155197       0.787122       0.651195
            220      -0.434418     0.00182406       0.782891       0.650926
            221      -0.433649     0.00195261       0.784604       0.654469
            222      -0.431517     0.00192162       0.781924       0.656167
            223      -0.432689     0.00194898       0.782749       0.659613
            224      -0.432689     0.00194898       0.782749       0.659613
            225      -0.436554     0.00168441       0.785176       0.655954
            226      -0.436554     0.00168441       0.785176       0.655954
            227      -0.434023     0.00175412       0.781287       0.652596
            228      -0.435951     0.00185261       0.779217       0.652941
            229      -0.435951     0.00185261       0.779217       0.652941
            230      -0.431064     0.00191029        0.77864       0.649237
            231      -0.433256     0.00195304       0.778842       0.648464
            232      -0.437089     0.00175111       0.778392       0.646518
            233      -0.438947      0.0015887       0.778688       0.645279
            234      -0.438947      0.0015887       0.778688       0.645279
            235       -0.43835     0.00161718       0.781912       0.643942
            236      -0.437838     0.00161522       0.780836       0.642064
            237      -0.438984     0.00166053       0.778818       0.639852
            238      -0.440365     0.00139605       0.775758       0.634481
            239      -0.438706     0.00132348       0.776593       0.636034
            240      -0.440651     0.00149309       0.773334       0.634664
            241      -0.440651     0.00149309       0.773334       0.634664
            242      -0.440651     0.00149309       0.773334       0.634664
            243      -0.440651     0.00149309       0.773334       0.634664
            244      -0.440603     0.00144738       0.775788       0.634981
            245        -0.4408     0.00143105       0.775277       0.635833
            246        -0.4408     0.00143105       0.775277       0.635833
            247        -0.4408     0.00143105       0.775277       0.635833
            248        -0.4408     0.00143105       0.775277       0.635833
            249        -0.4408     0.00143105       0.775277       0.635833
            250        -0.4408     0.00143105       0.775277       0.635833
            251      -0.440628     0.00157797       0.776086       0.634546
            252       -0.43966      0.0017186       0.773853       0.634351
            253       -0.44079     0.00127957       0.774053       0.632678
            254      -0.441802     0.00127675       0.775182       0.631093
            255      -0.441802     0.00127675       0.775182       0.631093
            256      -0.440647     0.00137435       0.773561       0.631722
            257      -0.440647     0.00137435       0.773561       0.631722
            258      -0.440804     0.00129404        0.77389       0.631224
            259      -0.440353     0.00151672       0.775805       0.632027
            260      -0.440375     0.00146701       0.775113       0.632866
            261      -0.440431     0.00159074       0.776107       0.632979
            262      -0.441532     0.00145711        0.77494       0.633685
