#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         385     15.9689     15.9504  0.00167512
         386     15.9696     15.9505  0.00167152
         387     15.9696     15.9505  0.00166793
         388     15.9693     15.9506  0.00166433
         389     15.9689     15.9506  0.00166072
         390     15.9686     15.9507   0.0016571
         391     15.9685     15.9507  0.00165349
         392     15.9685     15.9508   0.0016499
         393     15.9689     15.9508  0.00164634
         394     15.9696     15.9509  0.00164285
         395     15.9708     15.9509  0.00163947
         396     15.9726      15.951  0.00163625
         397     15.9749      15.951  0.00163324
         398     15.9773     15.9511  0.00163046
         399     15.9778     15.9512  0.00162775
         400     15.9748     15.9512  0.00162475
         401      15.969     15.9513  0.00162131
         402     15.9655     15.9513  0.00161766
         403     15.9662     15.9513  0.00161407
         404     15.9669     15.9514  0.00161054
         405     15.9634     15.9514  0.00160684
         406     15.9588     15.9514  0.00160298
         407     15.9579     15.9514  0.00159912
         408     15.9601     15.9515  0.00159534
         409     15.9627     15.9515  0.00159168
         410     15.9644     15.9515  0.00158811
         411     15.9654     15.9515  0.00158461
         412     15.9664     15.9516  0.00158117
         413     15.9677     15.9516  0.00157782
         414      15.969     15.9517  0.00157457
         415     15.9701     15.9517  0.00157141
         416     15.9705     15.9518  0.00156828
         417     15.9701     15.9518  0.00156513
         418     15.9694     15.9518  0.00156196
         419     15.9698     15.9519  0.00155882
         420     15.9716     15.9519  0.00155581
         421     15.9738      15.952  0.00155299
         422     15.9745      15.952  0.00155022
         423     15.9723     15.9521  0.00154729
         424     15.9678     15.9521  0.00154409
         425     15.9635     15.9521  0.00154069
         426     15.9617     15.9522  0.00153724
         427     15.9631     15.9522  0.00153385
         428     15.9659     15.9522   0.0015306
         429     15.9679     15.9523  0.00152747
         430      15.969     15.9523  0.00152441
         431     15.9713     15.9523  0.00152151
         432     15.9754     15.9524  0.00151892
         433      15.978     15.9525  0.00151657
         434     15.9751     15.9525  0.00151397
         435     15.9677     15.9525  0.00151089
         436      15.961     15.9526  0.00150755
         437     15.9581     15.9526  0.00150415
         438     15.9576     15.9526  0.00150076
         439      15.958     15.9526  0.00149739
         440     15.9602     15.9526  0.00149409
         441     15.9649     15.9526  0.00149096
         442     15.9718     15.9527  0.00148822
         443     15.9799     15.9527  0.00148613
         444     15.9877     15.9528  0.00148486
         445     15.9901     15.9529  0.00148389
         446     15.9806      15.953  0.00148186
         447     15.9611      15.953  0.00147866
         448     15.9464      15.953  0.00147543
         449     15.9451      15.953  0.00147225
         450     15.9518      15.953  0.00146898
         451     15.9592      15.953  0.00146579
         452     15.9643      15.953  0.00146276
         453     15.9673      15.953  0.00145987
         454     15.9691     15.9531  0.00145708
         455     15.9703     15.9531  0.00145438
         456     15.9715     15.9531  0.00145174
         457     15.9719     15.9532  0.00144915
         458     15.9712     15.9532  0.00144652
         459     15.9694     15.9533   0.0014438
         460     15.9666     15.9533  0.00144095
         461     15.9641     15.9533  0.00143801
         462      15.963     15.9533  0.00143506
         463      15.964     15.9534  0.00143214
         464     15.9679     15.9534   0.0014294
         465     15.9745     15.9534  0.00142705
         466     15.9814     15.9535  0.00142525
         467     15.9818     15.9536  0.00142349
         468     15.9734     15.9536  0.00142108
         469      15.965     15.9536  0.00141826
         470     15.9634     15.9536   0.0014154
         471     15.9654     15.9537  0.00141261
         472     15.9665     15.9537  0.00140988
         473     15.9648     15.9537   0.0014071
         474     15.9605     15.9537   0.0014042
         475     15.9573     15.9537  0.00140127
         476     15.9587     15.9537  0.00139836
         477     15.9655     15.9538  0.00139565
         478     15.9752     15.9538  0.00139345
         479     15.9829     15.9539  0.00139186
         480     15.9826     15.9539  0.00139025
         481     15.9731      15.954  0.00138793
         482     15.9624      15.954  0.00138516
         483     15.9573      15.954  0.00138231
         484     15.9573      15.954  0.00137947
         485     15.9597      15.954  0.00137667
         486     15.9633      15.954  0.00137397
         487     15.9673     15.9541  0.00137142
         488       15.97     15.9541    0.001369
         489     15.9698     15.9541  0.00136658
         490      15.966     15.9542    0.001364
         491     15.9614     15.9542   0.0013613
         492     15.9595     15.9542  0.00135858
         493     15.9614     15.9542   0.0013559
         494     15.9658     15.9542  0.00135336
         495     15.9711     15.9543  0.00135106
         496     15.9759     15.9543  0.00134904
         497     15.9779     15.9543  0.00134716
         498     15.9752     15.9544  0.00134511
         499     15.9688     15.9544  0.00134272
         500     15.9628     15.9544  0.00134014
