#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         424     20.8901     24.2752    0.191319
         425     20.9109     24.2673    0.191032
         426     20.9654     24.2596    0.190741
         427     21.0237      24.252    0.190445
         428     21.0608     24.2445    0.190146
         429     21.0724     24.2372    0.189846
         430     21.0685     24.2298    0.189548
         431     21.0483     24.2224    0.189252
         432     20.9936     24.2149    0.188961
         433        20.9     24.2073     0.18868
         434     20.8034     24.1994    0.188408
         435     20.7599     24.1915    0.188141
         436     20.7917     24.1837    0.187871
         437     20.8733     24.1761    0.187593
         438     20.9708     24.1688    0.187308
         439     21.0688     24.1618    0.187014
         440     21.1558     24.1549    0.186714
         441     21.2102     24.1483     0.18641
         442     21.2065     24.1416    0.186107
         443     21.1265     24.1348    0.185811
         444     20.9646     24.1277     0.18553
         445     20.7439     24.1201    0.185269
         446     20.5482      24.112    0.185026
         447     20.5014      24.104    0.184789
         448     20.6405     24.0962    0.184538
         449     20.8653      24.089    0.184267
         450     21.0593     24.0823     0.18398
         451     21.1798     24.0759    0.183685
         452     21.2373     24.0696    0.183386
         453     21.2547     24.0634    0.183086
         454     21.2487     24.0572    0.182788
         455     21.2279      24.051    0.182492
         456     21.1963     24.0447    0.182199
         457     21.1576     24.0384     0.18191
         458     21.1192      24.032    0.181624
         459     21.0932     24.0256    0.181342
         460     21.0911     24.0192    0.181059
         461     21.1164     24.0129    0.180776
         462     21.1608     24.0068     0.18049
         463     21.2064     24.0007    0.180202
         464     21.2287     23.9947    0.179912
         465     21.1991     23.9887    0.179626
         466     21.0986     23.9825    0.179347
         467     20.9533      23.976    0.179081
         468     20.8472     23.9693    0.178823
         469     20.8351     23.9627    0.178566
         470     20.8763     23.9561    0.178307
         471     20.9135     23.9496    0.178046
         472     20.9329     23.9432    0.177783
         473     20.9528     23.9369     0.17752
         474     21.0027     23.9307    0.177253
         475      21.094     23.9248     0.17698
         476     21.1983      23.919    0.176701
         477     21.2624     23.9135    0.176418
         478     21.2416     23.9079    0.176138
         479     21.1279     23.9021    0.175866
         480     20.9699      23.896    0.175605
         481     20.8601     23.8897    0.175354
         482     20.8583     23.8834    0.175103
         483     20.9397     23.8773    0.174846
         484     21.0461     23.8714    0.174583
         485     21.1397     23.8658    0.174314
         486     21.2035     23.8603    0.174041
         487     21.2298     23.8549    0.173767
         488     21.2209     23.8495    0.173495
         489     21.1967     23.8441    0.173225
         490     21.1915     23.8387    0.172956
         491     21.2302     23.8334    0.172686
         492     21.3048     23.8282    0.172411
         493     21.3814     23.8233    0.172133
         494     21.4264     23.8184    0.171853
         495     21.4213     23.8136    0.171574
         496     21.3638     23.8086    0.171299
         497     21.2695     23.8035     0.17103
         498     21.1752     23.7982    0.170768
         499     21.1269     23.7929     0.17051
         500      21.146     23.7876    0.170251
         501     21.2093     23.7824    0.169989
         502     21.2697     23.7774    0.169724
         503     21.2863     23.7725    0.169459
         504     21.2406     23.7675    0.169197
         505     21.1414     23.7623    0.168942
         506     21.0247     23.7569    0.168695
         507     20.9447     23.7513    0.168453
         508     20.9493     23.7458    0.168212
         509      21.035     23.7405    0.167966
         510     21.1365     23.7354    0.167714
         511     21.1819     23.7304     0.16746
         512     21.1544     23.7253    0.167209
         513     21.1159     23.7202     0.16696
         514     21.1552     23.7153     0.16671
         515     21.2844     23.7105    0.166453
         516     21.4305     23.7061    0.166189
         517     21.5202     23.7019    0.165921
         518     21.5341     23.6977    0.165654
         519     21.5129     23.6935    0.165388
         520     21.5147     23.6893    0.165123
         521     21.5379     23.6852    0.164858
         522     21.5271      23.681    0.164594
         523     21.4553     23.6768    0.164334
         524     21.3538     23.6723     0.16408
         525      21.264     23.6678    0.163832
         526     21.1894      23.663    0.163588
         527     21.1213     23.6582    0.163349
         528     21.0908     23.6534    0.163112
         529     21.1464     23.6486    0.162872
         530     21.2803     23.6442    0.162626
         531     21.4279       23.64    0.162373
         532     21.5352      23.636    0.162116
         533     21.5934     23.6322    0.161858
         534     21.6249     23.6284    0.161598
         535     21.6555     23.6247    0.161338
         536     21.6893     23.6211    0.161078
         537     21.7041     23.6176    0.160817
         538     21.6655     23.6139    0.160559
         539     21.5425     23.6101    0.160307
         540     21.3221     23.6059    0.160066
         541     21.0359     23.6011    0.159841
         542     20.7769     23.5959    0.159631
         543      20.647     23.5905    0.159429
         544     20.6725     23.5851    0.159226
         545     20.8094       23.58    0.159016
         546     20.9926     23.5753    0.158795
         547     21.1624     23.5709    0.158566
         548     21.2795     23.5667    0.158332
         549     21.3304     23.5626    0.158096
         550     21.3215     23.5585    0.157861
         551     21.2699     23.5544    0.157629
         552     21.1977     23.5501    0.157401
         553     21.1253     23.5457    0.157178
         554     21.0631     23.5412    0.156958
         555     21.0056     23.5367    0.156741
         556     20.9344      23.532    0.156529
         557     20.8319     23.5271    0.156323
         558        20.7     23.5221    0.156125
         559     20.5717     23.5168    0.155935
         560     20.4944     23.5114     0.15575
         561     20.4848      23.506    0.155566
         562      20.513     23.5007     0.15538
         563     20.5428     23.4954    0.155193
         564      20.559     23.4902    0.155005
         565      20.555      23.485    0.154818
         566     20.5221     23.4798    0.154633
         567     20.4615     23.4745    0.154452
         568     20.3992     23.4691    0.154275
         569     20.3778     23.4636    0.154099
         570     20.4218     23.4583    0.153921
         571     20.5142     23.4531    0.153738
         572     20.6181     23.4482    0.153549
         573     20.7073     23.4434    0.153356
         574     20.7733     23.4387    0.153159
         575     20.8177     23.4342     0.15296
         576     20.8443     23.4297    0.152761
         577     20.8558     23.4252    0.152561
         578     20.8528     23.4208    0.152362
         579     20.8348     23.4163    0.152165
         580     20.8014     23.4118    0.151969
         581     20.7542     23.4072    0.151776
         582     20.6995     23.4026    0.151587
         583     20.6486     23.3978      0.1514
         584     20.6153     23.3931    0.151216
         585     20.6099     23.3883    0.151032
